frame_id,signal_color,vehicle_count,crossing_vehicle_count,violation,decision,priority,frame_score,frame_path
255,yellow,0,0,False,Manual Review,Medium,0,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_255.jpg
260,yellow,0,0,False,Manual Review,Medium,0,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_260.jpg
265,yellow,0,0,False,Manual Review,Medium,0,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_265.jpg
270,yellow,0,0,False,Manual Review,Medium,0,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_270.jpg
275,yellow,0,0,False,Manual Review,Medium,0,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_275.jpg
280,yellow,0,0,False,Manual Review,Medium,0,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_280.jpg
285,yellow,0,0,False,Manual Review,Medium,0,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_285.jpg
290,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_290.jpg
295,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_295.jpg
300,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_300.jpg
305,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_305.jpg
310,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_310.jpg
315,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_315.jpg
320,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_320.jpg
325,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_325.jpg
330,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_330.jpg
335,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_335.jpg
340,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_340.jpg
345,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_345.jpg
350,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_350.jpg
355,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_355.jpg
360,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_360.jpg
365,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_365.jpg
370,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_370.jpg
375,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_375.jpg
380,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_380.jpg
385,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_385.jpg
390,red,0,0,False,Manual Review,Medium,30,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_390.jpg
395,green,0,0,False,Green Signal - No Violation,Low,0,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_395.jpg
400,green,0,0,False,Green Signal - No Violation,Low,0,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_400.jpg
405,green,0,0,False,Green Signal - No Violation,Low,0,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_405.jpg
410,green,0,0,False,Green Signal - No Violation,Low,0,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_410.jpg
415,green,0,0,False,Green Signal - No Violation,Low,0,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_415.jpg
420,green,0,0,False,Green Signal - No Violation,Low,0,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_420.jpg
425,green,0,0,False,Green Signal - No Violation,Low,0,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_425.jpg
430,green,0,0,False,Green Signal - No Violation,Low,0,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_430.jpg
435,green,0,0,False,Green Signal - No Violation,Low,0,/kaggle/working/ViolationIQ/outputs/redlight/raw_frame_435.jpg
